SITE,Z,Date,Zsec,PH,COND,ALK,OP,TFP,TP,CL,NO3,SO4,TN,NH4,SI,Na,Mg,Ca,K,Fe,CHLA,T,DO (mg/l),DO (sat),Zcomp (m)
A10,10,2-Jun-1981,10.5,7.68,92.2,,1.0,2.0,3.0,5.8,0.005,,,0.005,1.30,,,10.1,,,,11.7,10.8,99.7%,
A10,10,24-Jun-1981,10.0,7.64,92.2,,0.5,2.0,7.0,6.0,0.005,,,0.005,1.17,,,9.9,,,,14.2,9.9,96.8%,
A10,10,14-Jul-1981,9.5,7.60,91.8,,0.5,2.0,5.0,5.7,0.005,,,0.005,0.91,,,10.3,0.53,,1.15,,,,
A10,10,5-Aug-1981,11.5,7.59,86.0,,0.5,4.0,3.0,6.0,0.005,,,0.005,0.82,,,,,,0.90,24.5,8.9,108.9%,
A10,10,26-Aug-1981,10.5,7.67,90.5,,0.5,1.0,4.0,5.9,0.005,,,0.010,0.77,,,,,,0.10,,,,
A10,10,16-Sep-1981,9.8,7.64,89.8,,0.5,2.0,2.0,6.3,0.005,,,0.005,0.70,,,,,,1.80,18.5,8.0,86.2%,
A10,10,30-Sep-1981,9.0,7.40,86.7,,0.5,2.0,8.0,6.1,0.005,,,0.005,0.93,,,,,,,16.0,8.9,90.7%,
A10,10,13-Oct-1981,,7.46,87.7,,1.0,1.0,5.0,6.3,0.005,,,0.005,1.12,,,,,,,13.0,8.0,76.1%,
A10,10,4-Nov-1981,7.5,7.26,86.9,,0.5,2.0,5.0,6.2,0.005,,,0.005,1.42,,,,,,,10.0,10.4,92.2%,
A10,10,26-Apr-1982,,7.30,82.0,,0.5,2.0,5.0,5.9,0.040,,,0.005,1.70,3.6,,10.5,,,1.95,3.5,13.2,100.5%,
A10,10,10-May-1982,,7.40,88.0,,1.0,1.0,8.0,5.9,0.030,,,0.005,1.55,3.8,,11.4,,,,5.5,13.4,106.9%,
A10,10,25-May-1982,8.3,7.45,88.0,,1.0,1.0,3.0,8.0,0.020,,,0.010,1.35,3.8,,,,,,10.0,12.4,110.0%,
A10,10,8-Jun-1982,10.7,7.35,89.5,,1.0,2.0,4.0,6.4,0.005,,,0.010,1.35,3.7,,11.3,,,1.28,11.1,12.4,112.9%,
A10,10,22-Jun-1982,12.5,7.70,94.1,,0.5,2.0,4.0,6.9,0.005,,,0.005,1.10,3.7,,11.1,,,1.37,11.0,11.2,101.7%,
A10,10,13-Jul-1982,8.0,7.50,104.6,,0.5,2.0,4.0,7.9,0.005,,,0.005,0.90,3.8,,11.3,,,0.30,12.0,12.0,111.5%,
A10,10,28-Jul-1982,9.0,7.62,100.0,,0.5,2.0,2.0,6.2,0.005,,,0.005,0.69,3.8,,11.3,,,,19.0,9.8,106.8%,
A10,10,3-Aug-1982,8.5,7.30,103.0,,0.5,1.0,2.0,7.8,0.005,,,0.005,0.67,3.8,,11.3,,,0.84,17.8,10.2,108.2%,
A10,10,11-Aug-1982,9.8,7.14,105.0,,0.5,1.0,3.0,7.0,0.005,,,0.005,0.68,3.7,,11.3,,,,,,,
A10,10,24-Aug-1982,8.3,7.47,95.2,,1.0,3.0,4.0,9.9,0.040,,,0.005,0.72,3.8,,11.5,,,0.75,20.0,8.6,95.8%,
A10,10,2-Sep-1982,8.0,7.54,87.8,,0.5,1.0,4.0,6.5,0.005,,,0.005,1.02,3.9,,11.6,,,,,,,
A10,10,16-Sep-1982,10.0,7.25,95.8,,0.5,2.0,4.0,7.0,0.010,,,0.005,0.96,3.9,,11.8,,,1.04,17.0,8.9,92.8%,
A10,10,14-Oct-1982,,7.53,99.4,,0.5,2.0,4.0,6.5,0.005,,,0.020,1.10,3.8,,13.2,,,0.98,15.9,10.5,106.7%,
A10,10,10-Nov-1982,,7.33,90.5,,0.5,1.0,3.0,6.5,0.005,,,0.005,1.30,3.7,,,,,1.51,11.8,10.2,94.4%,
A10,10,13-Apr-1983,7.5,7.35,84.0,,0.5,1.0,5.0,6.3,0.030,,,0.005,1.48,4.0,,,,,,3.5,12.9,98.2%,
A10,10,27-Apr-1983,6.5,7.44,93.5,,1.0,1.0,4.0,6.4,0.020,,,0.060,1.60,3.9,,,,,2.05,5.0,12.4,97.8%,
A10,10,13-May-1983,,7.41,97.7,,1.0,0.5,4.0,6.5,0.010,,,0.005,1.55,3.9,,,,,1.95,7.0,12.2,100.8%,
A10,10,3-Jun-1983,,7.12,89.0,,0.5,2.0,4.0,6.1,0.005,,,0.010,1.55,3.7,,,,,1.40,8.0,12.6,106.6%,
A10,10,15-Jun-1983,,7.21,98.6,,0.5,1.3,4.0,6.1,0.020,,,0.005,1.30,3.8,,,,,0.60,10.0,13.2,117.1%,
A10,10,8-Jul-1983,,7.35,98.1,,0.5,2.0,5.0,6.1,0.005,,,0.020,1.35,3.9,,,,,0.75,16.0,9.3,94.8%,
A10,10,27-Jul-1983,,7.36,101.2,,0.5,3.0,5.0,6.6,0.005,,,0.030,0.95,3.9,,,,,0.40,19.5,13.0,143.2%,
A10,10,17-Aug-1983,7.5,7.67,90.6,,1.0,3.0,5.0,6.0,0.005,,,0.005,0.90,3.9,,,,,1.20,20.5,11.9,134.0%,
A10,10,15-Sep-1983,9.2,7.70,93.1,,0.5,1.0,4.0,6.4,0.005,,,0.005,1.05,4.0,,,,,,20.5,,,
A10,10,6-Oct-1983,,7.54,98.1,,1.0,0.5,4.0,6.7,0.005,,,0.005,1.20,3.9,,,,,0.95,,,,
A10,10,2-Nov-1983,,7.34,100.4,,1.0,1.0,4.0,6.2,0.005,,,0.005,1.70,4.0,,,,,0.40,11.5,11.9,109.3%,
A10,10,17-Apr-1984,,7.11,95.6,,0.5,2.0,4.0,6.1,0.050,,,0.005,1.10,,,11.3,,,2.01,3.5,14.2,106.9%,
A10,10,2-May-1984,,7.09,81.2,,1.0,1.0,4.0,6.1,0.030,,,0.005,1.00,,,11.3,,,2.33,8.0,9.8,82.8%,
A10,10,16-May-1984,,7.31,91.6,,2.0,2.0,4.0,6.2,0.010,,,0.005,1.00,,,10.9,,,1.72,8.5,11.7,100.1%,
A10,10,31-May-1984,,7.66,94.1,,0.5,4.0,6.0,6.0,0.005,,,0.005,0.90,,,11.7,,,2.28,12.5,11.2,105.1%,
A10,10,14-Jun-1984,,,,,,,,,,,,,,,,,,,,12.0,11.4,105.8%,
A10,10,6-Jul-1984,7.0,7.79,89.8,,2.0,3.0,6.0,6.5,0.005,,,0.020,0.74,,,10.5,,,1.57,17.5,9.6,100.3%,
A10,10,26-Jul-1984,8.5,7.75,99.4,,1.0,3.0,6.0,6.4,0.005,,,0.005,0.60,,,12.3,,,1.31,17.0,9.4,97.2%,
A10,10,15-Aug-1984,8.0,7.64,108.9,,0.5,2.0,2.0,6.5,0.010,,,0.005,0.53,,,11.1,,,1.42,21.0,9.6,107.6%,
A10,10,5-Sep-1984,8.3,7.73,103.8,,0.5,2.0,4.0,6.6,0.030,,,0.005,0.50,,,11.1,,,0.75,20.0,8.6,94.6%,
A10,10,26-Sep-1984,,7.61,101.4,,0.5,4.0,5.0,6.5,0.005,,,0.005,0.60,,,11.4,,,1.02,17.5,10.5,109.7%,
A10,10,16-Oct-1984,,7.38,104.9,,0.5,2.0,4.0,6.7,0.020,,,0.005,0.65,,,10.4,,,1.26,14.5,10.0,98.1%,
A10,10,10-Apr-1985,7.0,7.31,89.8,,2.0,1.0,3.0,6.5,0.005,,,0.005,1.14,,,10.0,,,2.49,4.0,11.2,85.4%,
A10,10,8-May-1985,,7.44,97.0,,1.0,1.0,4.0,6.6,0.010,,,0.005,0.93,,,10.1,,,1.69,7.5,11.9,99.2%,
A10,10,22-May-1985,,7.23,97.8,,1.0,1.0,4.0,6.7,0.005,,,0.005,0.94,,,10.5,,,1.20,11.0,11.6,105.2%,
A10,10,5-Jun-1985,,7.60,98.5,,0.5,2.0,5.0,6.8,0.005,,,0.005,0.85,,,11.0,,,1.21,12.5,10.5,98.5%,
A10,10,18-Jun-1985,9.0,7.46,,,1.0,1.0,3.0,6.9,0.005,,,0.005,0.84,,,11.4,,,1.29,15.0,10.2,101.2%,
A10,10,2-Jul-1985,9.0,7.55,95.6,,0.5,2.0,3.0,6.8,0.005,,,0.005,0.82,,,,,,0.22,16.0,9.9,100.3%,
A10,10,25-Jul-1985,8.5,7.26,,,1.0,1.0,4.0,6.7,0.005,,,0.010,0.78,,,10.7,,,0.72,22.0,8.8,98.7%,
A10,10,15-Aug-1985,9.0,7.16,109.4,,1.0,2.0,4.0,6.8,0.005,,,0.005,0.80,,,11.9,,,0.68,21.5,9.1,103.1%,
A10,10,12-Sep-1985,,6.99,,,0.5,1.0,5.0,6.7,0.005,,,0.005,0.85,,,10.6,,,1.05,19.5,9.1,99.1%,
A10,10,1-Oct-1985,,6.93,,,0.5,5.0,4.0,6.7,0.005,,,0.005,0.81,,,12.0,,,0.55,18.5,8.8,93.9%,
A10,10,15-Oct-1985,,6.94,,,0.5,2.0,5.0,7.0,0.005,,,0.005,0.93,,,,,,0.32,15.0,8.8,87.3%,
A10,10,7-Nov-1985,,7.02,104.3,,1.0,2.0,4.0,6.7,0.020,,,0.005,0.98,,,11.3,,,1.89,12.0,9.4,87.2%,
A10,10,17-Apr-1986,,7.23,85.0,,2.0,2.0,4.0,6.5,0.005,,,0.005,1.46,3.8,,9.6,,0.025,2.21,4.0,12.1,92.3%,
A10,10,30-Apr-1986,8.5,7.51,96.0,,2.0,4.0,4.0,6.5,0.020,,,0.005,1.28,4.0,,11.1,,0.025,0.99,6.0,12.2,98.0%,
A10,10,15-May-1986,,7.56,98.0,,1.0,4.0,5.0,6.6,0.010,,,0.005,1.10,4.0,,11.4,,0.025,2.37,10.0,11.4,101.0%,
A10,10,29-May-1986,,7.04,93.0,,0.5,2.0,4.0,7.3,0.005,,,0.005,1.05,4.2,,11.1,,0.025,1.78,11.5,11.3,103.6%,
A10,10,12-Jun-1986,,7.19,89.0,,0.5,2.0,3.0,7.1,0.005,,,0.005,0.94,4.2,,11.8,,0.025,0.08,14.0,9.8,95.1%,
A10,10,26-Jun-1986,8.5,7.62,96.0,,0.5,2.0,3.0,7.0,0.005,,,0.005,0.73,,,12.3,,,2.57,14.0,10.9,105.7%,
A10,10,16-Jul-1986,7.5,7.57,101.0,,0.5,2.0,4.0,7.2,0.005,,,0.005,0.56,,,12.8,,,1.22,19.0,9.6,103.4%,
A10,10,7-Aug-1986,8.0,7.51,101.0,,0.5,2.0,3.0,7.2,0.005,,,0.010,0.54,,,12.4,,,0.68,20.0,8.9,97.9%,
A10,10,28-Aug-1986,8.0,7.82,100.0,,0.5,2.0,4.0,7.0,0.005,,,0.005,0.57,,,11.7,,,3.33,19.5,8.3,90.4%,
A10,10,18-Sep-1986,8.0,7.40,97.0,,0.5,2.0,3.0,7.5,0.005,,,0.005,0.66,,,12.4,,,2.26,17.0,8.8,91.0%,
A10,10,2-Oct-1986,7.0,7.38,99.5,,0.5,2.0,2.0,7.0,0.005,,,0.005,0.67,,,12.7,,,2.33,16.2,9.1,92.6%,
A10,10,23-Oct-1986,,7.29,99.2,,0.5,3.0,5.0,7.0,0.005,,,0.005,0.88,,,12.8,,,2.12,13.0,9.2,87.3%,
A10,10,5-Nov-1986,,7.35,96.0,,1.0,2.0,5.0,7.5,0.005,,,0.005,0.91,,,12.5,,,2.94,11.0,10.0,90.7%,
A10,10,19-Nov-1986,,7.32,101.0,,1.0,3.0,4.0,7.7,0.005,,,0.005,0.99,,,12.2,,,3.57,8.0,10.5,88.7%,
A10,10,16-Apr-1987,7.2,7.32,93.0,,2.0,3.0,4.0,5.9,0.005,3.28,,0.005,1.12,,,13.0,,,1.95,4.0,13.1,99.9%,
A10,10,1-May-1987,9.0,7.47,98.0,,1.0,2.0,4.0,6.7,0.010,3.12,,0.005,0.98,,,12.2,,,2.27,6.0,12.5,100.4%,
A10,10,14-May-1987,10.0,7.45,90.7,,1.0,2.0,3.0,6.7,0.010,,,0.005,0.88,,,12.6,,,0.70,9.0,12.6,109.0%,
A10,10,28-May-1987,11.0,7.38,96.9,,0.5,2.0,4.0,7.3,0.010,,,0.005,0.88,,,12.7,,,1.20,11.5,11.3,103.6%,
A10,10,11-Jun-1987,10.5,7.44,103.9,,0.5,2.0,3.0,7.6,0.005,,,0.010,0.80,,,12.8,,,1.17,12.5,10.1,94.7%,
A10,10,25-Jun-1987,10.0,7.38,119.9,,0.5,5.0,8.0,7.1,0.005,,,0.005,0.78,,,12.6,,,0.98,16.0,9.7,98.3%,
A10,10,16-Jul-1987,9.2,7.18,93.4,,0.5,1.0,3.0,7.2,0.005,,,0.005,0.68,,,12.4,,,1.14,16.1,9.8,99.5%,
A10,10,6-Aug-1987,10.0,7.79,100.0,,0.5,2.0,4.0,7.4,0.005,,,0.005,0.60,,,11.4,,,0.89,18.0,9.4,99.3%,
A10,10,27-Aug-1987,8.0,7.66,105.0,,0.5,1.0,4.0,7.4,0.005,,,0.005,0.62,,,12.3,,,0.82,20.1,8.9,98.1%,
A10,10,16-Sep-1987,9.1,7.58,101.0,,1.0,2.0,5.0,7.5,0.005,,,0.005,0.68,,,11.3,,,0.54,18.5,8.4,89.6%,
A10,10,14-Oct-1987,8.4,7.51,102.0,,,2.0,5.0,7.2,0.005,,,0.005,0.90,,,11.0,,,1.42,13.0,8.8,83.5%,
A10,10,29-Oct-1987,,7.59,101.0,,1.0,2.0,5.0,8.0,0.005,,,0.005,0.92,,,11.2,,,2.59,11.5,9.5,87.1%,
A10,10,13-Nov-1987,,7.60,102.0,,0.5,2.0,5.0,7.2,0.005,,,0.005,1.00,,,11.3,,,1.20,9.0,10.5,90.8%,
A10,10,15-Apr-1988,,7.47,100.0,,,2.0,6.0,8.1,0.050,3.40,,0.005,1.20,,2.1,11.9,,,2.00,4.0,12.9,98.4%,
A10,10,27-Apr-1988,8.0,7.28,100.0,,1.0,2.0,5.0,7.3,0.030,,,0.005,1.10,,2.1,11.7,,,1.80,5.1,13.0,102.1%,
A10,10,11-May-1988,,7.62,101.0,,0.5,3.0,6.0,7.7,0.020,,,0.005,1.00,,,9.2,,,1.80,8.2,11.3,95.9%,
A10,10,25-May-1988,,7.58,101.0,,0.5,3.0,6.0,8.4,0.005,,,0.005,1.10,,,9.2,,,1.20,9.5,12.0,105.0%,
A10,10,8-Jun-1988,13.3,7.59,86.0,,0.5,3.0,5.0,8.3,0.005,,,0.005,1.00,,,10.4,,,0.90,12.0,11.2,103.9%,
A10,10,22-Jun-1988,12.0,7.57,101.8,,0.5,2.0,6.0,6.9,0.005,,,0.005,0.90,,,9.2,,,1.30,14.0,10.6,102.8%,
A10,10,14-Jul-1988,8.0,7.22,95.9,,0.5,2.0,3.0,8.0,0.005,,,0.005,0.80,,,9.6,,,1.10,20.0,9.6,105.6%,
A10,10,2-Aug-1988,12.0,7.62,94.5,,0.5,2.0,3.0,7.6,0.005,,,0.005,0.80,,,9.7,,,0.80,18.0,9.5,100.3%,
A10,10,25-Aug-1988,10.5,7.32,96.3,,0.5,2.0,5.0,7.8,0.005,,,0.005,0.80,,,11.0,,,1.30,21.5,8.2,92.9%,
A10,10,9-Sep-1988,,7.54,95.0,,0.5,0.5,3.0,8.1,0.005,,,0.005,0.80,,,10.3,,,1.00,20.0,8.7,95.7%,
A10,10,27-Sep-1988,13.6,7.55,96.2,,0.5,2.0,4.0,7.9,0.005,,,0.005,0.80,,,11.0,,,1.10,17.5,8.5,88.8%,
A10,10,20-Oct-1988,9.5,7.33,95.3,,0.5,3.0,7.0,7.6,0.005,,,0.005,0.90,,,11.4,,,1.80,13.8,8.8,85.0%,
A10,10,2-Nov-1988,,7.30,94.9,,0.5,2.0,6.0,8.1,0.005,,,0.005,1.00,,,10.5,,,2.10,11.0,9.6,87.0%,
A10,10,16-Nov-1988,,7.13,98.1,,0.5,2.0,7.0,7.8,0.010,,,0.005,1.10,,,10.4,,,1.80,9.5,10.0,87.5%,
A10,10,20-Apr-1989,6.7,7.56,96.0,,1.0,3.0,5.0,7.9,0.040,,,0.005,1.10,5.0,,10.0,,,1.20,3.2,12.8,95.6%,
A10,10,18-May-1989,6.9,7.38,97.0,,1.0,2.0,3.0,7.7,0.005,,,0.005,0.90,,,10.0,,,1.26,6.3,12.5,101.2%,
A10,10,16-Jun-1989,8.5,7.37,95.0,,0.5,2.0,4.0,7.8,0.005,,,0.005,0.77,,,11.1,,,1.36,11.0,11.0,99.7%,
A10,10,12-Jul-1989,10.0,7.56,93.5,,0.5,2.0,4.0,8.2,0.005,,,0.005,0.64,,,9.8,,,,13.0,11.2,106.3%,
A10,10,9-Aug-1989,8.0,8.04,93.0,,0.5,2.0,4.0,8.0,0.005,,,0.005,0.61,,,9.9,,,0.59,15.1,11.8,117.3%,
A10,10,6-Sep-1989,,7.63,100.0,,1.0,2.0,5.0,8.0,0.005,,,0.005,0.64,,,10.0,,,0.54,18.5,8.4,89.6%,
A10,10,11-Oct-1989,,7.30,96.0,,0.5,2.0,7.0,8.1,0.005,,,0.005,0.82,,,10.0,,,1.73,12.0,9.2,85.3%,
A10,10,7-Nov-1989,,7.67,93.0,,0.5,2.0,7.0,8.0,0.005,,,0.005,0.94,,,10.5,,,1.90,9.0,9.6,83.0%,
A10,10,26-Apr-1990,7.5,7.56,90.0,,1.0,2.0,7.0,8.5,0.040,3.00,,0.005,1.36,5.1,,12.1,0.56,0.025,0.98,4.0,11.7,89.2%,
A10,10,23-May-1990,7.3,7.65,94.0,,0.5,2.0,5.0,7.2,0.040,2.52,,0.005,0.70,4.4,,10.2,0.45,0.025,1.32,7.0,10.8,89.0%,
A10,10,27-Jun-1990,9.7,7.78,98.0,25.0,0.5,2.0,5.0,7.1,0.005,2.76,,0.005,0.89,5.3,,8.7,0.45,,0.63,15.0,9.5,94.2%,
A10,10,18-Jul-1990,8.3,7.56,97.0,20.0,0.5,2.0,4.0,8.3,0.005,3.38,,0.005,0.80,,,,,,1.30,14.0,9.8,95.1%,
A10,10,15-Aug-1990,6.2,7.82,91.0,24.5,0.5,2.0,6.0,8.1,0.005,2.68,,0.005,0.94,4.9,,8.7,,,2.05,20.5,7.1,78.8%,
A10,10,13-Sep-1990,10.6,7.63,97.0,26.0,0.5,2.0,5.0,8.5,0.005,2.78,,0.005,0.76,5.3,,8.4,,,1.58,20.6,8.0,89.0%,
A10,10,10-Oct-1990,,7.57,99.0,27.0,0.5,3.0,5.0,8.7,0.005,2.76,,0.020,0.94,5.3,,9.0,,,2.50,15.8,8.6,86.8%,
A10,10,14-Nov-1990,6.6,7.32,80.0,25.0,1.0,3.0,7.0,8.1,0.010,2.73,,0.005,1.12,,,,,,2.12,9.5,9.0,78.8%,
A10,10,11-Apr-1991,,7.56,89.0,,1.0,3.0,5.0,8.5,0.080,2.86,,0.005,1.27,,,7.2,,,1.05,4.3,12.1,93.0%,
A10,10,8-May-1991,7.2,7.70,90.0,25.0,1.0,3.0,5.0,8.6,0.030,2.88,,0.005,1.10,,,8.1,,,1.05,8.0,11.5,97.1%,
A10,10,6-Jun-1991,6.7,7.65,91.0,25.0,1.0,2.0,6.0,8.9,0.005,2.79,,0.005,0.87,,,8.1,,,1.99,13.0,10.7,101.5%,
A10,10,10-Jul-1991,9.7,7.60,94.0,27.5,1.0,2.0,5.0,8.9,0.005,2.88,,0.005,0.68,,,7.7,,,0.47,15.7,10.5,105.7%,
A10,10,8-Aug-1991,9.7,7.74,95.0,26.5,0.5,3.0,3.0,8.5,0.005,2.90,,0.010,0.64,,,8.5,,,0.38,18.2,9.8,103.9%,
A10,10,10-Sep-1991,8.0,7.63,95.0,,1.0,3.0,4.0,9.2,0.005,2.82,,0.005,0.71,,,7.9,,,1.18,20.8,8.4,93.8%,
A10,10,16-Oct-1991,,7.29,97.0,,2.0,3.0,5.0,9.5,0.005,2.77,,0.005,1.00,,,8.3,,,1.57,13.9,8.7,84.2%,
A10,10,12-Nov-1991,7.2,7.28,100.0,,1.0,3.0,6.0,9.0,0.005,2.91,,0.010,1.07,,,8.0,,,2.78,9.2,9.5,82.6%,
A10,10,27-Apr-1992,6.6,7.47,92.0,20.0,1.0,3.0,5.0,9.2,0.040,2.97,,0.010,1.24,,,7.7,,,2.46,4.2,12.0,92.0%,
A10,10,6-May-1992,7.0,7.25,93.0,,1.0,5.0,6.0,9.5,0.010,3.02,,0.005,1.24,,,8.1,,,2.73,5.8,12.4,99.1%,
A10,10,21-May-1992,9.4,7.74,94.0,,1.0,3.0,4.0,9.7,0.005,3.18,,0.005,1.14,,,8.4,,,1.81,9.9,11.0,97.2%,
A10,10,18-Jun-1992,9.0,7.60,99.0,,0.5,1.0,6.0,9.4,0.005,2.65,,0.005,0.91,,,8.6,,,0.76,16.0,9.4,95.2%,
A10,10,16-Jul-1992,8.5,7.38,102.0,,1.0,3.0,8.0,9.1,0.005,2.64,,0.005,0.62,,,9.6,,,1.76,16.0,9.0,91.2%,
A10,10,11-Aug-1992,10.8,7.67,94.0,,0.5,2.0,4.0,9.4,0.005,2.64,,0.005,0.58,,,9.0,,,1.33,21.0,9.1,102.0%,
A10,10,10-Sep-1992,,7.65,102.0,,1.0,2.0,3.0,9.1,0.005,2.68,,0.005,0.60,,,8.9,,,0.98,20.0,8.8,96.8%,
A10,10,7-Oct-1992,8.5,7.09,99.0,,1.0,3.0,6.0,9.7,0.005,2.71,,0.010,1.11,,,8.9,,,1.80,14.0,8.7,84.4%,
A10,10,3-Nov-1992,7.5,7.44,98.0,,1.0,2.0,6.0,10.0,0.005,2.69,,0.010,1.52,,,8.2,,,2.43,10.5,9.7,86.9%,
A10,10,6-May-1993,7.3,7.67,94.0,,1.0,1.0,5.0,15.4,0.030,,,0.010,1.08,5.1,,,,,2.44,5.2,12.2,96.0%,
A10,10,19-May-1993,8.5,7.64,95.0,,0.5,2.0,5.0,10.7,0.020,,,0.005,1.19,5.2,,,,,1.52,9.0,11.5,99.5%,
A10,10,10-Jun-1993,7.4,7.87,95.0,,1.0,0.5,3.0,11.1,0.010,,,0.005,1.12,5.6,,,,,0.57,10.9,10.8,97.7%,
A10,10,15-Jul-1993,8.5,7.85,103.0,,0.5,0.5,4.0,9.4,0.005,,,0.005,0.90,5.2,,,,,0.72,,,,
A10,10,17-Aug-1993,10.0,8.00,105.0,,0.5,2.0,3.0,9.4,0.005,,,0.005,0.90,5.3,,,,,0.51,19.0,9.7,104.5%,
A10,10,16-Sep-1993,,7.58,,,0.5,2.0,5.0,9.3,0.010,,,0.005,1.10,5.6,,,,,1.66,10.5,9.1,81.5%,
A10,10,19-Oct-1993,,7.81,94.0,,1.0,4.0,5.0,9.8,0.005,,,0.005,0.96,5.8,,,,,2.02,11.8,10.2,94.2%,
A10,10,16-Nov-1993,,7.78,96.0,,0.5,3.0,6.0,9.3,0.010,,,0.005,1.19,5.7,,,,,1.45,9.0,10.4,90.0%,
A10,10,3-May-1994,8.0,7.33,94.0,,0.5,1.0,2.0,9.6,0.060,2.76,,0.005,1.35,,,10.0,,,0.79,,,,
A10,10,17-May-1994,6.0,7.61,103.0,,1.0,2.0,6.0,9.3,0.040,2.50,,0.005,1.34,,,9.7,,,1.26,,,,
A10,10,2-Jun-1994,8.5,7.84,106.0,,0.5,2.0,6.0,9.8,0.020,2.50,,0.005,1.31,,,10.1,,,2.11,,,,
A10,10,6-Jul-1994,6.5,7.81,104.0,,0.5,3.0,5.0,8.5,0.005,2.25,,0.005,0.89,,,10.6,,,2.12,,,,
A10,10,3-Aug-1994,6.9,7.67,104.0,,0.5,2.0,5.0,10.2,0.005,2.79,,0.010,0.87,,,10.8,,,2.82,,,,
A10,10,13-Sep-1994,6.8,7.33,109.0,,0.5,4.0,6.0,10.1,0.005,2.74,,0.005,0.81,,,10.3,,,2.42,,,,
A10,10,6-Oct-1994,8.3,7.79,109.0,,2.0,2.0,5.0,10.1,0.005,2.76,,0.005,0.97,,,10.5,,,2.74,,,,
A10,10,3-Nov-1994,,7.53,120.0,,0.5,2.0,6.0,10.1,0.010,2.76,,0.005,1.18,,,10.2,,,3.45,,,,
A10,10,12-Apr-1995,7.1,7.50,102.0,,1.0,2.0,4.0,9.8,0.050,2.65,,0.020,1.32,6.2,,10.4,,,0.76,3.9,13.0,98.9%,
A10,10,25-Apr-1995,7.9,7.60,105.0,,1.0,2.0,3.0,9.9,0.040,2.68,,0.005,1.22,6.2,,10.0,,,0.55,5.5,12.5,99.1%,
A10,10,9-May-1995,10.0,7.42,101.6,,0.5,4.0,5.0,9.9,0.030,2.59,,0.020,1.00,6.2,,10.7,,,0.51,6.2,12.2,98.5%,
A10,10,23-May-1995,11.5,7.61,109.0,,1.0,1.0,4.0,9.9,0.020,2.85,,0.010,1.14,6.3,,11.4,,,1.58,9.0,11.2,96.9%,
A10,10,6-Jun-1995,8.2,7.86,110.0,,0.5,2.0,4.0,10.1,0.010,2.51,,0.010,0.88,6.3,,12.8,,,1.26,12.1,11.3,105.1%,
A10,10,21-Jun-1995,11.8,7.99,110.0,,0.5,0.5,5.0,10.0,0.010,2.63,,0.005,0.86,5.7,,11.6,,,1.94,12.3,10.7,99.9%,
A10,10,20-Jul-1995,7.3,7.80,108.0,,0.5,0.5,4.0,10.7,0.005,2.62,,0.005,0.85,6.1,,10.3,,,0.72,17.6,10.8,113.1%,
A10,10,23-Aug-1995,9.9,7.98,105.0,,0.5,2.0,4.0,13.9,0.005,2.63,,0.010,0.92,6.2,,12.6,,,0.68,19.2,10.7,115.8%,
A10,10,20-Sep-1995,9.0,7.38,113.0,,0.5,3.0,3.0,12.0,0.005,3.23,,0.010,1.03,6.1,,11.6,,,1.05,18.2,8.4,89.1%,
A10,10,24-Oct-1995,6.5,7.55,107.0,,0.5,2.0,5.0,10.8,0.005,2.82,,0.005,1.07,6.1,,11.4,,,1.81,15.0,9.3,92.3%,
